Date,Subject or Title,Sent,Delivered,Total Opens,Unique Opens,Open Rate,Unique Clicks,Click-Through Rate,Verified Unique Clicks,Verified Click-Through Rate,Unsubscribed,Unsubscribe Rate,Spam Reported,Spam Reported Rate,Web Views,Web Clicks Unique,Web Click Rate,Post ID,Content Tags,Delivery Rate
"May 28, 2025","Big Tech, Bigger Battles: Fortnite Dances All O...",58,58,255,53,91.38%,47,88.68%,47,88.68%,0,0.00%,0,,46,4,8.70%,15589269-9605-4f9d-b70c-07f225e35a25,Daily News,100.00
"May 29, 2025",Ctrl+Alt+Delete: Putin’s Digital Purge,58,58,168,41,70.69%,21,51.22%,20,48.78%,0,0.00%,0,,9,1,11.11%,03abc079-3467-4c17-af30-6d1851591a66,Daily News,100.00
"May 30, 2025","AI, Apps & Auto Fails: This Week",58,58,95,38,65.52%,15,39.47%,14,36.84%,0,0.00%,0,,11,2,18.18%,8daed451-0077-4b3e-a696-b854e87f6cf9,Daily News,100.00
"Jun 2, 2025",Big Tech Hears All (And Pays Up),58,58,88,41,70.69%,8,19.51%,7,17.07%,0,0.00%,0,,1,0,0.00%,74c18208-a849-4d02-bc68-a3b71ef5a6f2,Daily News,100.00
"Jun 3, 2025","Call of Duty, Now Microsoft’s Problem",58,58,101,39,67.24%,8,20.51%,7,17.95%,0,0.00%,0,,6,0,0.00%,d981ca7f-4b07-4e27-b796-3a414b00651a,Daily News,100.00
"Jun 4, 2025",Google’s Monopoly in the Hot Seat,58,58,94,38,65.52%,7,18.42%,6,15.79%,0,0.00%,0,,8,0,0.00%,8eb6d051-f512-4e8b-ba27-bb1e5ecab0c3,Daily News,100.00
"Jun 5, 2025",Apple’s Garden Gets a Gate,58,58,73,39,67.24%,8,20.51%,8,20.51%,1,1.72%,0,,1,0,0.00%,3b300c35-7aac-49f4-9204-32e9f82ad71d,Daily News,100.00
"Jun 6, 2025",Electric Planes Take Off,57,57,60,40,70.18%,8,20%,8,20%,0,0.00%,0,,3,0,0.00%,2731c010-968e-4641-8257-d5a80b1e4e36,Daily News,100.00
"Jun 9, 2025",Browsers Get Bored—Go Full AI,313,313,278,179,57.19%,11,6.15%,10,5.59%,4,1.28%,0,,7,1,14.29%,ebc08442-7bc4-4825-abcb-8daaa71c5609,Daily News,100.00
"Jun 10, 2025",Boardroom Blunders & AI Wonders,309,306,255,166,54.25%,9,5.42%,8,4.82%,2,0.65%,0,,7,0,0.00%,3327300d-6caa-4449-bbc3-96b31697276d,Daily News,99.03
"Jun 11, 2025",AI vs Artists: Copyright Showdown,307,304,217,130,42.76%,14,10.77%,13,10%,3,0.99%,0,,11,2,18.18%,093d229d-64dc-46c7-be9b-1559c7e15e76,Daily News,99.02
"Jun 12, 2025",When AI Stays on Your Device,305,302,262,169,55.96%,13,7.69%,12,7.10%,2,0.66%,0,0.00%,5,0,0.00%,2bdeac3b-f82d-4965-9132-6194bac64e0c,Daily News,99.02
"Jun 13, 2025",Chatbots in the Cloud: Plot Twist,303,300,202,136,45.33%,7,5.15%,7,5.15%,0,0.00%,0,0.00%,6,0,0.00%,080a86d4-143b-4edf-899c-226dfdee52a5,Daily News,99.01
"Jun 16, 2025",The Secret Life of SaaS Bots,303,299,200,135,45.15%,10,7.41%,10,7.41%,1,0.33%,0,0.00%,3,1,33.33%,4d3c7271-3a9e-40b8-91d4-d94d25fab524,Daily News,98.68
"Jun 17, 2025",Your Startup Just Got Acquihired,0,0,0,0,,0,,0,,0,,0,,42,2,4.76%,ba952100-6616-49c1-8ddd-2a72fbc270f7,Daily News,#DIV/0!
"Jun 18, 2025",The Island That Runs the Machines,797,785,588,439,55.92%,21,4.78%,17,3.87%,7,0.89%,0,0.00%,5,0,0.00%,4a6431a6-57f1-41f2-bac4-4b18ed65c71c,Daily News,98.49
"Jun 19, 2025",Build Your Own AI—Or Else,"1,288","1,270",974,706,55.59%,23,3.26%,17,2.41%,13,1.02%,0,0.00%,5,0,0.00%,26081922-b282-47d6-ae3e-92b0e787fe07,Daily News,98.60
"Jun 20, 2025",Trouble in the AI Paradise,"2,320","2,286","1,834","1,296",56.69%,42,3.24%,29,2.24%,25,1.09%,1,50.00%,72,2,2.78%,901e3ab1-55bf-47f9-9ac4-75f3feac2ffc,Daily News,98.53
"Jun 23, 2025",Virtual Personalities Take Over,"2,295","2,244","1,779","1,279",57.00%,49,3.83%,32,2.50%,25,1.11%,0,0.00%,8,1,12.50%,cc8493a2-9c0f-4acd-bf98-6e546651d589,Daily News,97.78
"Jun 24, 2025",The Future’s in the Passenger Seat,"2,271","2,217","1,400","1,004",45.29%,31,3.09%,29,2.89%,22,0.99%,0,0.00%,19,0,0.00%,c8908737-b6f1-4fec-8b3c-c35b1436420f,Daily News,97.62
"Jun 25, 2025",The Internet vs. AI Slop,"3,241","3,177","2,541","1,883",59.27%,45,2.39%,35,1.86%,35,1.10%,0,0.00%,11,0,0.00%,341b666a-343d-48d4-9e8e-1f9b4ee53988,Daily News,98.03
"Jun 26, 2025",Remix or Rewrite?,"3,207","3,114","1,801","1,223",39.27%,41,3.35%,34,2.78%,30,0.96%,0,0.00%,7,1,14.29%,06d0a37c-ae28-4ee5-97df-6912b45db28f,Daily News,97.10
"Jun 27, 2025",Governing the Algorithm Age,"3,177","3,087","2,481","1,821",58.99%,48,2.64%,34,1.87%,31,1.00%,0,0.00%,27,1,3.70%,e82eeab7-d349-4b73-938a-9946ae80a231,Daily News,97.17
"Jun 30, 2025",Chasing True Intelligence,"5,101","4,989","3,048","2,162",43.34%,63,2.91%,55,2.54%,58,1.16%,0,0.00%,21,1,4.76%,b73cf6cd-c576-493f-8df2-fb234aefd428,Daily News,97.80
"Jul 1, 2025",CEO Money for Coders,"5,044","4,914","3,623","2,637",53.66%,65,2.46%,37,1.40%,39,0.79%,0,0.00%,38,0,0.00%,b608a952-6fbe-4d6b-a8f0-ce97b284b46c,Daily News,97.42
"Jul 2, 2025","Hype, Sanctions, and the R1 Shockwave","6,950","6,783","4,733","3,399",50.11%,93,2.74%,67,1.97%,77,1.14%,0,0.00%,12,0,0.00%,acd9c0c7-17d5-4b9b-98bd-57a8d5df33bd,Daily News,97.60
"Jul 3, 2025",China’s Chipless AI Charge,"6,975","6,788","4,643","3,339",49.19%,90,2.70%,61,1.83%,72,1.06%,0,0.00%,25,0,0.00%,528bbe97-c9bc-43c1-9cd7-e136d6a01e4d,Daily News,97.32
"Jul 4, 2025",Huawei’s AI Gambit,"6,915","6,706","5,455","3,940",58.75%,90,2.28%,52,1.32%,53,0.79%,0,0.00%,12,1,8.33%,024551c7-0d81-4e0d-b04d-da383f2906c4,Daily News,96.98
"Jul 7, 2025",Europe Stalls; AI Giants Accelerate,"8,817","8,589","6,289","4,642",54.05%,105,2.26%,70,1.51%,78,0.91%,0,0.00%,33,0,0.00%,b8367072-6028-40b4-960e-5944aa1cdab1,Daily News,97.41
"Jul 8, 2025","New App, Same TikTok Drama","8,717","8,457","5,977","4,435",52.44%,79,1.78%,64,1.44%,89,1.05%,0,0.00%,24,0,0.00%,b71b9b07-ded0-49d5-a4f1-f766d556f7b9,Daily News,97.02
"Jul 9, 2025","Small Models, Big Wins",97,84,31,24,28.57%,1,4.17%,1,4.17%,1,1.19%,0,,0,0,,87b8c65d-c0da-45d8-a937-1ceeb8d08c6c,Daily News,86.60
"Jul 9, 2025","Small Models, Big Wins","12,429","12,134","9,532","7,067",58.24%,148,2.09%,119,1.68%,148,1.22%,0,0.00%,34,2,5.88%,0dbb6230-8f46-4800-b9a7-4e2da4269b70,Daily News,97.63
"Jul 10, 2025",AI Homeroom Hustle,"12,378","12,004","8,150","6,016",50.12%,101,1.68%,73,1.21%,92,0.77%,0,0.00%,26,1,3.85%,ebe453d8-ab8c-4624-8b07-7bb5672e8631,Daily News,96.98
"Jul 11, 2025",Chrome Killer?,"12,282","11,892","5,556","3,878",32.61%,133,3.43%,71,1.83%,86,0.72%,0,0.00%,24,1,4.17%,0854e329-9328-487c-a3d6-2bde2c4e307f,Daily News,96.82
"Jul 14, 2025",Grok 4 Goes Rogue—You In?,"14,712","14,287","6,023","4,282",29.97%,129,3.01%,87,2.03%,92,0.64%,0,0.00%,66,0,0.00%,370380bf-1b65-4176-9763-3f488d90c003,Daily News,97.11
"Jul 15, 2025",AI tools are killing junior jobs—let’s talk,"15,591","15,108","6,380","4,509",29.85%,158,3.50%,69,1.53%,76,0.50%,1,8.33%,23,1,4.35%,e5e3a367-0d54-4717-8ced-6b30948fc8f3,Daily News,96.90
"Jul 16, 2025","CUDA, GPUs & $3T later: Nvidia’s AI glow-up","13,182","12,790","5,709","3,682",28.79%,70,1.90%,57,1.55%,70,0.55%,0,0.00%,25,2,8.00%,bd24afd6-f868-4154-8721-067f6381612c,Daily News,97.03
"Jul 17, 2025",AI Chips vs. Rocks: Who Wins the Next War?,"13,220","12,891","4,948","3,539",27.45%,119,3.36%,65,1.84%,61,0.47%,0,0.00%,20,0,0.00%,204fe93b-cfe9-4280-986b-ffa9978c2d65,Daily News,97.51
"Jul 18, 2025",AI tools boost productivity—at the cost of yo...,"12,468","12,178","8,449","6,446",52.93%,95,1.47%,49,0.76%,49,0.40%,0,0.00%,20,0,0.00%,e13fcf00-296d-4c10-8d1c-9d5994243a9c,Daily News,97.67
"Jul 21, 2025",Cybercrime’s new BFF? Your AI stack,"16,008","15,563","5,426","3,859",24.80%,80,2.07%,61,1.58%,78,0.50%,1,10.00%,24,0,0.00%,fa5f4281-843c-4ee5-8ed4-16844705ba8b,Daily News,97.22
"Jul 22, 2025",The Web’s New Tollbooth,"15,934","14,956","9,920","7,995",53.46%,100,1.25%,52,0.65%,63,0.42%,0,0.00%,119,0,0.00%,415f6b26-c89c-495a-ac53-7779567d0753,Daily News,93.86
"Jul 23, 2025",The Race To Replace Search As We Know It,"16,540","15,536","11,296","8,766",56.42%,109,1.24%,69,0.79%,81,0.52%,0,0.00%,37,0,0.00%,6d7f6fd3-deb4-4c67-a0ce-436e27370fcd,Daily News,93.93
"Jul 24, 2025",OpenAI’s Grip On AI Slips,"16,107","15,114","11,794","9,425",62.36%,69,0.73%,32,0.34%,43,0.28%,0,0.00%,30,0,0.00%,0c8c6309-ca7b-482c-b914-ad02f82f288b,Daily News,93.83
"Jul 25, 2025",Perplexity’s Profit Puzzle,"14,840","13,942","11,638","9,207",66.04%,165,1.79%,59,0.64%,65,0.47%,0,0.00%,85,2,2.35%,4a796fb8-df8a-42de-b70c-305d8b4fd9de,Daily News,93.95
"Jul 28, 2025",Is Your AI Secretly Red or Blue?,"36,545","35,406","24,864","20,425",57.69%,227,1.11%,144,0.71%,227,0.64%,2,11.11%,73,2,2.74%,42ae67e5-b9ad-49f9-bc64-b1f33f2ad945,Daily News,96.88
"Jul 29, 2025",AI Takes Your Call,"36,326","34,888","23,715","19,978",57.26%,195,0.98%,102,0.51%,185,0.53%,2,11.11%,81,1,1.23%,a9a3a4f6-3417-4b2e-a205-ad882e628588,Daily News,96.04
"Jul 30, 2025",Vibe Coding Takes The Wheel,"39,264","37,370","10,240","7,538",20.17%,169,2.24%,126,1.67%,170,0.45%,1,5.88%,85,3,3.53%,9e744bb9-dbcb-4867-b3d6-0a892dbac0ab,Daily News,95.18
"Jul 31, 2025",AI’s Transparency Test,"39,072","36,956","25,201","20,550",55.61%,152,0.74%,99,0.48%,125,0.34%,1,6.67%,46,0,0.00%,de427a42-4fb7-4dd7-b0e3-b1e6d9d6c2f6,Daily News,94.58
"Aug 1, 2025","AI Cold War: Chips, Treaties, And Power","26,235","25,423","10,093","7,367",28.98%,118,1.60%,68,0.92%,104,0.41%,1,7.69%,57,2,3.51%,3eb0d9f7-c82f-42d6-a7f4-7745d7d7e2c3,Daily News,96.90
"Aug 4, 2025",Cloud Power: The Hidden AI Edge,"33,205","32,942","26,069","21,811",66.21%,173,0.79%,112,0.51%,177,0.54%,1,8.33%,65,1,1.54%,72e8e213-e611-484d-b057-6634e05365cb,Daily News,99.21
"Aug 5, 2025","Code, Cash, And Characters","33,024","32,640","12,336","9,051",27.73%,146,1.61%,85,0.94%,156,0.48%,0,0.00%,53,1,1.89%,789064f1-f279-495d-afad-ef6d3817738a,Daily News,98.84
"Aug 6, 2025",Fixing AI’s Hallucination Problem,"42,868","42,349","12,903","8,839",20.87%,184,2.08%,130,1.47%,223,0.53%,5,29.41%,34,2,5.88%,b5708c23-4a28-4174-999a-39c626f18e15,Daily News,98.79
"Aug 7, 2025",Kill Switch Or Chaos?,"37,834","37,382","32,174","26,629",71.23%,203,0.76%,136,0.51%,215,0.58%,1,5.88%,64,1,1.56%,d3e4874b-ddb6-4e5a-9efc-9c192618ce6a,Daily News,98.81
"Aug 8, 2025",The Future Of AI Software,"37,627","37,147","32,602","27,533",74.12%,178,0.65%,104,0.38%,134,0.36%,0,0.00%,30,1,3.33%,02175671-7066-4899-8a66-15c059cfd676,Daily News,98.72
"Aug 11, 2025",Will AI Agents Kill SaaS?,"47,231","46,721","39,833","32,591",69.76%,305,0.94%,211,0.65%,421,0.90%,2,5.00%,34,1,2.94%,1911c755-5c94-403d-90b9-7b1f7c055eed,Daily News,98.92
"Aug 12, 2025",Intel’s $100B Bet Meets Washington,"46,817","46,052","39,954","33,691",73.16%,230,0.68%,163,0.48%,242,0.53%,0,0.00%,41,2,4.88%,dc506bd5-8355-4a38-851d-de40d8f59ce9,Daily News,98.37
"Aug 13, 2025",GPT-5: Rerouting The Future,"46,484","45,707","39,263","33,033",72.27%,283,0.86%,182,0.55%,210,0.46%,1,2.56%,69,3,4.35%,e0273de5-abf5-403d-93b3-e86345819cd6,Daily News,98.33
"Aug 14, 2025",AI’s Data Hunger,"55,560","54,692","42,720","35,230",64.42%,291,0.83%,209,0.59%,297,0.54%,2,4.26%,55,5,9.09%,1f2a1df0-5a5a-4bfa-9495-bc8ac4b4fcf3,Daily News,98.44
"Aug 15, 2025",Why Nvidia and Alphabet are backing safer AI,"53,756","53,326","47,302","39,116",73.35%,304,0.78%,187,0.48%,310,0.58%,0,0.00%,33,1,3.03%,e60ad3ac-4eb4-46ce-8588-40b2b7b72fc4,Daily News,99.20
"Aug 18, 2025",Not-So-Smart Apple,"68,055","67,510","58,301","47,606",70.52%,520,1.09%,394,0.83%,635,0.94%,0,0.00%,87,3,3.45%,2ec63217-ba63-495a-bff8-518e76c7bd78,Daily News,99.20
"Aug 19, 2025",Is It Real Or Just AI?,"63,069","62,515","56,599","47,215",75.53%,353,0.75%,245,0.52%,296,0.47%,0,0.00%,73,4,5.48%,caff0376-9035-4aa6-9d35-51e0266d0563,Daily News,99.12
"Aug 20, 2025",What’s Fueling AI Hype?,"70,763","70,112","27,314","19,560",27.90%,412,2.11%,305,1.56%,385,0.55%,0,0.00%,100,7,7.00%,2d88bff2-b307-4ac5-a069-e74b863e26d1,Daily News,99.08
"Aug 21, 2025",Talking Toys And Chips,"61,688","61,179","56,148","43,070",70.40%,791,1.84%,602,1.40%,670,1.10%,1,3.33%,103,1,0.97%,b0500402-ba98-4b77-abe1-a81a227513e6,Daily News,99.17
"Aug 22, 2025",Meta Faces New Firestorm,"60,925","60,407","44,090","34,778",57.57%,405,1.16%,264,0.76%,277,0.46%,2,6.45%,73,1,1.37%,4e4c3310-8c08-4ea3-aa11-006632322c55,Daily News,99.15
"Aug 25, 2025",AI Wants To Be Your Coach,"85,551","85,058","115,997","66,078",77.69%,"1,039",1.57%,624,0.94%,833,0.98%,2,5.13%,243,2,0.82%,708da055-082d-4bce-8767-b18ea66d9c54,Daily News,99.42
"Aug 26, 2025",Can AI Ever Be “Alive”?,"84,724","84,069","85,523","65,147",77.49%,774,1.19%,592,0.91%,774,0.92%,2,5.00%,92,5,5.43%,c27bfdee-02fd-45c2-83c0-ed1c07c345a1,Daily News,99.23
"Aug 27, 2025",The Rise Of Smart Surveillance,"98,699","97,926","79,513","61,398",62.70%,927,1.51%,641,1.04%,901,0.92%,0,0.00%,152,6,3.95%,dbaaa417-1f1e-4b74-a90f-a8cc0117cf2b,Daily News,99.22
"Aug 28, 2025","Apple, OpenAI, And A Lawsuit","85,464","84,558","62,617","47,918",56.67%,760,1.59%,415,0.87%,542,0.64%,0,0.00%,189,2,1.06%,4b95a0e1-ef49-4e91-b624-b39ea86be997,Daily News,98.94
"Aug 29, 2025",Apple’s AI Gamble,"84,862","84,190","79,457","63,220",75.09%,593,0.94%,378,0.60%,453,0.54%,1,2.22%,115,1,0.87%,f000bc4f-7bd3-40bd-b0a7-50c695d644e5,Daily News,99.21
"Sep 1, 2025",Can Intel Catch Up?,"92,193","91,553","83,819","66,872",73.04%,661,0.99%,432,0.65%,673,0.74%,3,6.82%,104,0,0.00%,3e3bfc29-3667-4b4f-8d8d-5803455ce040,Daily News,99.31
"Sep 2, 2025",When AI Goes To War,"91,654","90,898","69,213","53,511",58.87%,745,1.39%,495,0.93%,703,0.77%,0,0.00%,97,4,4.12%,4a124243-a009-4637-8bef-17dddda72a03,Daily News,99.18
"Sep 3, 2025",The Rise Of Virtual Companions,"105,376","104,460","98,426","76,000",72.76%,965,1.27%,680,0.89%,973,0.93%,5,10.64%,231,3,1.30%,f9394621-89fb-4c7e-ae27-196f79e74f10,Daily News,99.13
"Sep 4, 2025",Who Regulates The Regulators?,"98,379","97,522","98,931","79,829",81.86%,816,1.02%,465,0.58%,620,0.64%,0,0.00%,66,0,0.00%,8a25fbc0-7fcb-41b5-b240-bbadc7356c19,Daily News,99.13
"Sep 5, 2025",Rethinking R&D With AI,"111,109","110,105","64,652","44,373",40.30%,848,1.91%,566,1.28%,746,0.68%,1,1.96%,56,3,5.36%,efac7f6a-4452-482f-a29a-b86177373cd7,Daily News,99.10
"Sep 8, 2025",Clankers Go Mainstream,"104,929","103,967","101,318","78,654",75.65%,"1,298",1.65%,802,1.02%,893,0.86%,0,0.00%,265,6,2.26%,5b0cbf5e-25c3-48a7-a2a7-a37473566192,Daily News,99.08
"Sep 9, 2025",How Nvidia Quietly Runs AI,"103,911","102,899","88,707","68,492",66.56%,907,1.32%,523,0.76%,501,0.49%,0,0.00%,124,4,3.23%,d9171b8c-568c-4adb-ad19-cec488c947b4,Daily News,99.03
"Sep 10, 2025",Copyright’s AI Reckoning,"99,563","98,547","103,667","81,487",82.69%,"1,069",1.31%,629,0.77%,467,0.47%,0,0.00%,214,4,1.87%,fb1f8d00-ae37-432d-8172-3795dc7de3cf,Daily News,98.98
"Sep 11, 2025",Is AI Killing the Web?,"108,393","107,421","99,612","77,459",72.11%,"1,868",2.41%,440,0.57%,684,0.64%,2,3.70%,126,7,5.56%,c7c579a2-c976-4c07-bf3d-9bc61598e242,Daily News,99.10
"Sep 12, 2025","AI, The Apple Way","107,530","106,470","104,688","82,285",77.28%,"1,304",1.58%,406,0.49%,536,0.50%,0,0.00%,161,1,0.62%,9e80ed33-55d6-43d5-9df5-d3350f0c4a2d,Daily News,99.01
"Sep 15, 2025","Smaller, Local, Smarter?","106,891","105,822","100,511","79,063",74.71%,"1,321",1.67%,362,0.46%,464,0.44%,1,1.75%,234,5,2.14%,649162b9-6361-486b-bd8c-f1902a113757,Daily News,99.00
"Sep 16, 2025",Turning Prompts Into Profit,"111,924","110,960","106,329","83,165",74.95%,"1,188",1.43%,440,0.53%,600,0.54%,0,0.00%,153,1,0.65%,d82597f2-bf84-44f1-92df-14329fb58e7b,Daily News,99.14
"Sep 17, 2025","Multi-Model, Multi-Billion","112,970","111,407","106,626","84,097",75.49%,"2,029",2.41%,475,0.56%,624,0.56%,0,0.00%,234,5,2.14%,c03b8a57-0d09-4be9-a25a-d72fbb791abe,Daily News,98.62
